epoch,loss,accuracy,pred,true,euclidean,cosine_similarity
4000,5.700652036466636e-05,0.36363636363636365,2,2,0.0,1
4000,5.700652036466636e-05,0.36363636363636365,20,19,1.4142135623730951,0.0
4000,5.700652036466636e-05,0.36363636363636365,18,18,0.0,1
4000,5.700652036466636e-05,0.36363636363636365,20,22,1.4142135623730951,0.0
4000,5.700652036466636e-05,0.36363636363636365,12,17,1.4142135623730951,0.0
4000,5.700652036466636e-05,0.36363636363636365,21,21,0.0,1
4000,5.700652036466636e-05,0.36363636363636365,2,1,1.4142135623730951,0.0
4000,5.700652036466636e-05,0.36363636363636365,19,19,0.0,1
4000,5.700652036466636e-05,0.36363636363636365,3,10,1.4142135623730951,0.0
4000,5.700652036466636e-05,0.36363636363636365,8,9,1.4142135623730951,0.0
4000,5.700652036466636e-05,0.36363636363636365,20,22,1.4142135623730951,0.0
