epoch,loss,accuracy,pred,true,euclidean,cosine_similarity
6000,2.5002753318403848e-05,0.36363636363636365,2,2,0.0,1
6000,2.5002753318403848e-05,0.36363636363636365,20,19,1.4142135623730951,0.0
6000,2.5002753318403848e-05,0.36363636363636365,18,18,0.0,1
6000,2.5002753318403848e-05,0.36363636363636365,21,22,1.4142135623730951,0.0
6000,2.5002753318403848e-05,0.36363636363636365,12,17,1.4142135623730951,0.0
6000,2.5002753318403848e-05,0.36363636363636365,21,21,0.0,1
6000,2.5002753318403848e-05,0.36363636363636365,2,1,1.4142135623730951,0.0
6000,2.5002753318403848e-05,0.36363636363636365,3,19,1.4142135623730951,0.0
6000,2.5002753318403848e-05,0.36363636363636365,10,10,0.0,1
6000,2.5002753318403848e-05,0.36363636363636365,8,9,1.4142135623730951,0.0
6000,2.5002753318403848e-05,0.36363636363636365,21,22,1.4142135623730951,0.0
